KO,metabolism
K16792,methane metabolism
K16793,methane metabolism
K17066,methane metabolism
K17067,methane metabolism
K17068,methane metabolism
K17100,methane metabolism
K18277,methane metabolism
K18933,methane metabolism
K19793,methane metabolism
K21071,methane metabolism
K22015,methane metabolism
K22081,methane metabolism
K22082,methane metabolism
K22083,methane metabolism
K22084,methane metabolism
K22085,methane metabolism
K22086,methane metabolism
K22087,methane metabolism
K22305,methane metabolism
K22480,methane metabolism
K22481,methane metabolism
K22482,methane metabolism
K22515,methane metabolism
K22516,methane metabolism
K23995,methane metabolism
K24182,methane metabolism
K24393,methane metabolism
K24998,methane metabolism
K25123,methane metabolism
K25124,methane metabolism
K25528,methane metabolism
K04643,bacteriorhodopsin
K04641,bacteriorhodopsin
K21817,bacteriorhodopsin
K23306,bacteriorhodopsin
K04642,bacteriorhodopsin
K02259,oxidative phosphorylation
K02275,oxidative phosphorylation
K02276,oxidative phosphorylation
K02257,oxidative phosphorylation
K00406,oxidative phosphorylation
K00407,oxidative phosphorylation
K00404,oxidative phosphorylation
K00405,oxidative phosphorylation
K02297,oxidative phosphorylation
K02298,oxidative phosphorylation
K02299,oxidative phosphorylation
K02300,oxidative phosphorylation
K02297,oxidative phosphorylation
K02298,oxidative phosphorylation
K02299,oxidative phosphorylation
K02300,oxidative phosphorylation
K00425,oxidative phosphorylation
K00426,oxidative phosphorylation
K08738,oxidative phosphorylation
K01207,carbohydrate degradation
K01812,carbohydrate degradation
K05349,carbohydrate degradation
K01200,carbohydrate degradation
K06282,hydrogen metabolism
K01551,arsenic
K03892,arsenic
K17686,copper
K04759,iron
K02012,iron
K08356,arsenic metabolism
K08355,arsenic metabolism
K16180,mercury methylation
